id;jhi_label;description;jhi_order;parent_id
1;Задачи;;1;NULL
2;Национална олимпиада;;1;1
3;Есенен турнир;;2;1
4;Зимен турнир;;3;1
5;Пролетен турнир;;4;1
6;Летен турнир;;5;1
7;общински кръг;;1;2
8;областен кръг;;2;2
9;национален кръг;;3;2
10;2007;;1;3
11;A;;1;10
12;B;;2;10
13;C;;3;10
14;D;;4;10
15;E;;5;10
16;2008;;2;3
17;A;;1;16
18;B;;2;16
19;C;;3;16
20;D;;4;16
21;E;;5;16
22;2009;;3;3
23;A;;1;22
24;B;;2;22
25;C;;3;22
26;D;;4;22
27;E;;5;22
28;2010;;4;3
29;A;;1;28
30;B;;2;28
31;C;;3;28
32;D;;4;28
33;E;;5;28
34;2011;;5;3
35;A;;1;34
36;B;;2;34
37;C;;3;34
38;D;;4;34
39;E;;5;34
40;2012;;6;3
41;A;;1;40
42;B;;2;40
43;C;;3;40
44;D;;4;40
45;E;;5;40
46;2013;;7;3
47;A;;1;46
48;B;;2;46
49;C;;3;46
50;D;;4;46
51;E;;5;46
52;2014;;8;3
53;A;;1;52
54;B;;2;52
55;C;;3;52
56;D;;4;52
57;E;;5;52
58;2015;;9;3
59;A;;1;58
60;B;;2;58
61;C;;3;58
62;D;;4;58
63;E;;5;58
64;2016;;10;3
65;A;;1;64
66;B;;2;64
67;C;;3;64
68;D;;4;64
69;E;;5;64
70;2017;;11;3
71;A;;1;70
72;B;;2;70
73;C;;3;70
74;D;;4;70
75;E;;5;70
76;2018;;12;3
77;A;;1;76
78;B;;2;76
79;C;;3;76
80;D;;4;76
81;E;;5;76
82;2018;;1;6
83;A;;1;82
84;B;;2;82
85;C;;3;82
86;D;;4;82
87;E;;5;82
88;2009;;1;7
89;A;;1;88
90;B;;2;88
91;C;;3;88
92;D;;4;88
93;E;;5;88
94;2010;;2;7
95;A;;1;94
96;B;;2;94
97;C;;3;94
98;D;;4;94
99;E;;5;94
100;2011;;3;7
101;A;;1;100
102;B;;2;100
103;C;;3;100
104;D;;4;100
105;E;;5;100
106;2012;;4;7
107;A;;1;106
108;B;;2;106
109;C;;3;106
110;D;;4;106
111;E;;5;106
112;2013;;5;7
113;A;;1;112
114;B;;2;112
115;C;;3;112
116;D;;4;112
117;E;;5;112
118;2014;;6;7
119;A;;1;118
120;B;;2;118
121;C;;3;118
122;D;;4;118
123;E;;5;118
124;2015;;7;7
125;A;;1;124
126;B;;2;124
127;C;;3;124
128;D;;4;124
129;E;;5;124
130;2016;;8;7
131;A;;1;130
132;B;;2;130
133;C;;3;130
134;D;;4;130
