id;title;jhi_directory;version
1;porters;;1
2;distance;;1
3;bignum;;1
4;perm;;1
5;lines;;1
6;jumps;;1
7;maxi;;1
8;rebus;;1
9;names;;1
10;happy;;1
11;words;;1
12;div;;1
13;ruler;;1
14;t;;1
15;saver;;1
16;table;;1
17;mirrors;;1
18;string;;1
19;rings;;1
20;lines;;1
21;decbin;;1
22;pal;;1
23;peb;;1
24;banka;;1
25;digit;;1
26;roads;;1
27;choco;;1
28;acrobat;;1
29;winner;;1
30;lucky;;1
31;year2012;;1
32;reading;;1
33;strip;;1
34;handshakes;;1
35;riddles;;1
36;coins;;1
37;rich;;1
38;triples;;1
39;formula1;;1
40;rect;;1
41;maxbin;;1
42;garden;;1
43;sklad;;1
44;biathlon;;1
45;maxdigit;;1
46;like;;1
47;abcd;;1
48;mink;;1
49;recon;;1
50;competition;;1
51;points;;1
52;unique;;1
53;power;;1
54;prettynum;;1
55;seq;;1
56;parking;;1
57;planes;;1
58;fakir;;1
59;middle;;1
60;dog;;1
61;standard;;1
62;clustering;;1
63;submarines;;1
64;btree;;1
65;calcgame;;1
66;zerosum;;1
67;triangles;;1
68;substring;;1
69;company;;1
70;symmetric;;1
71;profit;;1
72;frequency;;1
73;rectangle;;1
74;think;;1
75;gift;;1
76;teleport;;1
77;boats;;1
78;lines;;1
79;balance;;1
80;maxsum;;1
81;channels;;1
82;timetable;;1
83;mice;;1
84;tvgame;;1
85;number;;1
86;postman;;1
87;board;;1
88;time;;1
89;sym;;1
90;sign;;1
91;orbit;;1
92;xor;;1
93;profit;;1
94;invcnt;;1
95;points;;1
96;run;;1
97;kravaiche;;1
98;niz;;1
99;next;;1
100;zero;;1
101;salary;;1
102;sport;;1
103;stick;;1
104;honey;;1
105;border;;1
106;ants;;1
107;abwords;;1
108;window;;1
109;avoider;;1
110;hole;;1
111;sequence;;1
112;substrings;;1
113;calendar;;1
114;hexagon;;1
115;equality;;1
116;substring;;1
117;seq;;1
118;game;;1
119;casting;;1
120;muffins;;1
121;roads;;1
122;game;;1
123;ragain;;1
124;squares;;1
125;maxarrea;;1
126;table;;1
127;twostr;;1
128;swap;;1
129;agrain;;1
130;shop;;1
131;rect;;1
132;balls;;1
133;bee;;1
134;kletki;;1
135;lift;;1
136;towers;;1
137;div;;1
138;biathlon;;1
139;disconnect;;1
140;tower;;1
141;traveling;;1
142;zeros;;1
143;code;;1
144;triangle;;1
145;sherlok;;1
146;numdiv;;1
147;palin;;1
148;chas;;1
149;minesweeper;;1
150;rabbit;;1
151;crypto;;1
152;colorgraph;;1
153;clubs;;1
154;shopping;;1
155;bridges;;1
156;chain;;1
157;snowboard;;1
158;school;;1
159;workshop;;1
160;hidepencil;;1
161;concert;;1
162;palin;;1
163;maxcard;;1
164;izraz;;1
165;honey;;1
166;chess;;1
167;park;;1
168;seats;;1
169;namuhs;;1
170;artillery;;1
171;domino;;1
172;report;;1
173;clock;;1
174;persistence;;1
175;changenumber;;1
176;coding;;1
177;equation;;1
178;painting;;1
179;traveltime;;1
180;dini;;1
181;plovdiv;;1
182;permutations;;1
183;xbgame;;1
184;setp;;1
185;rect;;1
186;eksk;;1
187;roads;;1
188;cipher;;1
189;diffseq;;1
190;turnir;;1
191;reduce;;1
192;binary;;1
193;amusing;;1
194;triplet;;1
195;grump;;1
196;game;;1
197;longest;;1
198;row;;1
199;color;;1
200;roads;;1
201;sansu;;1
202;last;;1
203;fatal;;1
204;stones;;1
205;maxk;;1
206;fact;;1
207;calc;;1
208;word;;1
209;square;;1
210;princess;;1
211;song;;1
212;kod;;1
213;prize;;1
214;sudoku;;1
215;words;;1
216;addmul;;1
217;dumi;;1
218;pic;;1
219;chess;;1
220;kperms;;1
221;quad;;1
222;Lubimec13;;1
